Datas,Foggia
2020/07/05,0
2020/07/06,0
2020/07/07,0
2020/07/08,0
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,2
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,1
2020/07/24,6
2020/07/25,2
2020/07/26,0
2020/07/27,1
2020/07/28,2
2020/07/29,2
2020/07/30,0
2020/07/31,1
2020/08/01,12
2020/08/02,6
2020/08/03,1
2020/08/04,4
2020/08/05,9
2020/08/06,1
2020/08/07,3
2020/08/08,2
2020/08/09,6
2020/08/10,9
2020/08/11,1
2020/08/12,7
2020/08/13,3
2020/08/14,3
2020/08/15,13
2020/08/16,1
2020/08/17,1
2020/08/18,2
2020/08/19,8
2020/08/20,7
2020/08/21,12
2020/08/22,7
2020/08/23,9
2020/08/24,3
2020/08/25,1
2020/08/26,10
2020/08/27,10
2020/08/28,15
2020/08/29,5
2020/08/30,14
2020/08/31,6
2020/09/01,4
2020/09/02,5
2020/09/03,13
2020/09/04,7
2020/09/05,8
2020/09/06,12
2020/09/07,14
2020/09/08,12
2020/09/09,11
2020/09/10,13
2020/09/11,21
2020/09/12,12
2020/09/13,14
2020/09/14,6
2020/09/15,26
2020/09/16,22
2020/09/17,6
2020/09/18,23
2020/09/19,43
2020/09/20,8
2020/09/21,25
2020/09/22,10
2020/09/23,35
2020/09/24,19
2020/09/25,36
2020/09/26,9
2020/09/27,17
2020/09/28,9
2020/09/29,37
2020/09/30,33
2020/10/01,19
2020/10/02,29
2020/10/03,10
2020/10/04,16
2020/10/05,27
2020/10/06,26
2020/10/07,80
2020/10/08,27
2020/10/09,87
2020/10/10,60
2020/10/11,95
2020/10/12,4
2020/10/13,40
2020/10/14,55
2020/10/15,25
2020/10/16,45
2020/10/17,89
2020/10/18,75
2020/10/19,63
2020/10/20,91
2020/10/21,61
2020/10/22,132
2020/10/23,176
2020/10/24,123
2020/10/25,103
2020/10/26,109
2020/10/27,137
2020/10/28,117
2020/10/29,208
2020/10/30,171
2020/10/31,227
2020/11/01,227
2020/11/02,169
2020/11/03,115
2020/11/04,229
2020/11/05,273
2020/11/06,291
2020/11/07,312
2020/11/08,203
2020/11/09,155
2020/11/10,318
2020/11/11,189
2020/11/12,232
2020/11/13,269
2020/11/14,524
2020/11/15,121
2020/11/16,426
2020/11/17,182
2020/11/18,228
2020/11/19,154
2020/11/20,405
2020/11/21,335
2020/11/22,397
2020/11/23,168
2020/11/24,407
2020/11/25,308
2020/11/26,163
2020/11/27,345
2020/11/28,384
2020/11/29,448
2020/11/30,198
2020/12/01,567
2020/12/02,208
2020/12/03,250
2020/12/04,106
2020/12/05,444
2020/12/06,214
2020/12/07,462
2020/12/08,119
2020/12/09,236
2020/12/10,314
2020/12/11,258
2020/12/12,255
2020/12/13,281
2020/12/14,262
2020/12/15,145
2020/12/16,242
2020/12/17,90
2020/12/18,320
2020/12/19,241
2020/12/20,41
2020/12/21,422
2020/12/22,150
2020/12/23,205
2020/12/24,189
2020/12/25,240
2020/12/26,254
2020/12/27,8
2020/12/28,269
2020/12/29,81
2020/12/30,256
2020/12/31,298
2021/01/01,325
2021/01/02,139
2021/01/03,252
2021/01/04,97
2021/01/05,109
2021/01/06,188
2021/01/07,137
2021/01/08,338
2021/01/09,248
2021/01/10,150
2021/01/11,146
2021/01/12,299
2021/01/13,118
2021/01/14,280
2021/01/15,292
2021/01/16,217
2021/01/17,193
2021/01/18,117
2021/01/19,70
2021/01/20,119
2021/01/21,294
2021/01/22,148
2021/01/23,163
2021/01/24,213
2021/01/25,135
2021/01/26,121
2021/01/27,194
2021/01/28,234
2021/01/29,244
2021/01/30,45
2021/01/31,321
2021/02/01,85
2021/02/02,156
2021/02/03,123
2021/02/04,60
2021/02/05,261
2021/02/06,170
2021/02/07,132
2021/02/08,115
2021/02/09,129
2021/02/10,61
2021/02/11,216
2021/02/12,48
2021/02/13,272
2021/02/14,115
2021/02/15,95
2021/02/16,96
2021/02/17,98
2021/02/18,102
2021/02/19,123
2021/02/20,118
2021/02/21,99
2021/02/22,67
2021/02/23,71
2021/02/24,-35
2021/02/25,235
2021/02/26,172
2021/02/27,169
2021/02/28,182
2021/03/01,116
2021/03/02,137
2021/03/03,112
2021/03/04,147
2021/03/05,169
2021/03/06,208
2021/03/07,229
2021/03/08,87
2021/03/09,171
2021/03/10,45
2021/03/11,252
2021/03/12,281
2021/03/13,190
2021/03/14,238
2021/03/15,116
2021/03/16,94
2021/03/17,307
2021/03/18,253
2021/03/19,270
2021/03/20,263
2021/03/21,301
2021/03/22,115
2021/03/23,204
2021/03/24,55
2021/03/25,366
2021/03/26,382
2021/03/27,233
2021/03/28,286
2021/03/29,176
2021/03/30,93
2021/03/31,195
2021/04/01,562
2021/04/02,336
2021/04/03,241
2021/04/04,228
2021/04/05,265
2021/04/06,139
2021/04/07,57
2021/04/08,198
2021/04/09,296
2021/04/10,379
2021/04/11,257
2021/04/12,172
2021/04/13,237
2021/04/14,56
2021/04/15,391
2021/04/16,266
2021/04/17,199
2021/04/18,239
2021/04/19,131
2021/04/20,194
2021/04/21,35
2021/04/22,347
2021/04/23,266
2021/04/24,193
2021/04/25,174
2021/04/26,208
2021/04/27,171
2021/04/28,45
2021/04/29,332
2021/04/30,284
2021/05/01,41
2021/05/02,296
2021/05/03,81
2021/05/04,89
2021/05/05,123
2021/05/06,115
2021/05/07,163
2021/05/08,130
2021/05/09,130
2021/05/10,47
2021/05/11,96
2021/05/12,37
2021/05/13,101
2021/05/14,49
2021/05/15,136
2021/05/16,74
2021/05/17,33
2021/05/18,24
2021/05/19,12
2021/05/20,85
2021/05/21,56
2021/05/22,61
2021/05/23,58
2021/05/24,20
2021/05/25,13
2021/05/26,10
2021/05/27,81
2021/05/28,40
2021/05/29,32
2021/05/30,9
2021/05/31,35
2021/06/01,13
2021/06/02,38
2021/06/03,2
2021/06/04,34
2021/06/05,22
2021/06/06,33
2021/06/07,15
2021/06/08,8
2021/06/09,31
2021/06/10,14
2021/06/11,26
2021/06/12,12
2021/06/13,18
2021/06/14,9
2021/06/15,17
2021/06/16,27
2021/06/17,6
2021/06/18,19
2021/06/19,4
2021/06/20,7
2021/06/21,1
2021/06/22,11
2021/06/23,0
2021/06/24,5
2021/06/25,7
2021/06/26,5
2021/06/27,1
2021/06/28,2
2021/06/29,7
2021/06/30,3
2021/07/01,1
2021/07/02,5
2021/07/03,3
2021/07/04,3
2021/07/05,3
2021/07/06,6
2021/07/07,3
2021/07/08,7
2021/07/09,7
2021/07/10,3
2021/07/11,9
2021/07/12,0
2021/07/13,8
2021/07/14,1
2021/07/15,7
2021/07/16,9
2021/07/17,23
2021/07/18,3
2021/07/19,4
2021/07/20,15
2021/07/21,8
2021/07/22,32
2021/07/23,17
2021/07/24,13
2021/07/25,5
2021/07/26,21
2021/07/27,18
2021/07/28,10
2021/07/29,14
2021/07/30,69
2021/07/31,36
2021/08/01,5
2021/08/02,35
2021/08/03,25
2021/08/04,24
2021/08/05,13
2021/08/06,63
2021/08/07,30
2021/08/08,28
2021/08/09,19
2021/08/10,23
2021/08/11,28
2021/08/12,32
2021/08/13,41
2021/08/14,27
2021/08/15,31
2021/08/16,21
2021/08/17,13
2021/08/18,22
2021/08/19,35
2021/08/20,39
2021/08/21,49
2021/08/22,31
2021/08/23,53
2021/08/24,20
2021/08/25,19
2021/08/26,60
2021/08/27,44
2021/08/28,51
2021/08/29,22
2021/08/30,45
2021/08/31,20
2021/09/01,22
2021/09/02,37
2021/09/03,20
2021/09/04,54
2021/09/05,15
2021/09/06,35
2021/09/07,18
2021/09/08,16
2021/09/09,24
2021/09/10,27
2021/09/11,32
2021/09/12,18
2021/09/13,24
2021/09/14,28
2021/09/15,24
2021/09/16,43
2021/09/17,24
2021/09/18,19
2021/09/19,21
2021/09/20,29
2021/09/21,19
2021/09/22,21
2021/09/23,20
2021/09/24,20
2021/09/25,29
2021/09/26,5
2021/09/27,21
2021/09/28,22
2021/09/29,26
2021/09/30,18
2021/10/01,37
2021/10/02,17
2021/10/03,19
2021/10/04,20
2021/10/05,31
2021/10/06,22
2021/10/07,22
2021/10/08,30
2021/10/09,27
2021/10/10,7
2021/10/11,54
2021/10/12,24
2021/10/13,21
2021/10/14,28
2021/10/15,24
2021/10/16,25
2021/10/17,13
2021/10/18,14
2021/10/19,17
2021/10/20,16
2021/10/21,35
2021/10/22,60
2021/10/23,43
2021/10/24,22
2021/10/25,45
2021/10/26,66
2021/10/27,38
2021/10/28,57
2021/10/29,62
2021/10/30,50
2021/10/31,31
2021/11/01,44
2021/11/02,11
2021/11/03,60
2021/11/04,28
2021/11/05,35
2021/11/06,52
2021/11/07,41
2021/11/08,50
2021/11/09,26
2021/11/10,50
2021/11/11,39
2021/11/12,58
2021/11/13,46
2021/11/14,28
2021/11/15,39
2021/11/16,5
2021/11/17,44
2021/11/18,34
2021/11/19,64
2021/11/20,60
2021/11/21,48
2021/11/22,19
2021/11/23,54
2021/11/24,45
2021/11/25,69
2021/11/26,55
2021/11/27,74
2021/11/28,28
2021/11/29,106
2021/11/30,52
2021/12/01,98
2021/12/02,107
2021/12/03,93
2021/12/04,105
2021/12/05,93
2021/12/06,109
2021/12/07,73
2021/12/08,82
2021/12/09,75
2021/12/10,129
2021/12/11,85
2021/12/12,87
2021/12/13,92
2021/12/14,62
2021/12/15,115
2021/12/16,132
2021/12/17,130
2021/12/18,153
2021/12/19,110
2021/12/20,146
2021/12/21,85
2021/12/22,151
2021/12/23,158
2021/12/24,51
2021/12/25,239
2021/12/26,164
2021/12/27,110
2021/12/28,224
2021/12/29,292
2021/12/30,469
2021/12/31,900
2022/01/01,358
2022/01/02,459
2022/01/03,292
2022/01/04,424
2022/01/05,554
2022/01/06,642
2022/01/07,738
2022/01/08,1135
2022/01/09,501
2022/01/10,313
2022/01/11,1059
2022/01/12,406
2022/01/13,486
2022/01/14,3111
2022/01/15,2786
2022/01/16,1991
2022/01/17,874
2022/01/18,3674
2022/01/19,2397
2022/01/20,2342
2022/01/21,2157
2022/01/22,2191
2022/01/23,1675
2022/01/24,545
2022/01/25,2196
2022/01/26,1446
2022/01/27,1235
2022/01/28,1268
2022/01/29,1731
2022/01/30,300
2022/01/31,382
2022/02/01,1284
2022/02/02,1067
2022/02/03,1056
2022/02/04,1000
2022/02/05,924
2022/02/06,740
2022/02/07,375
2022/02/08,1465
2022/02/09,852
2022/02/10,936
2022/02/11,827
2022/02/12,794
2022/02/13,571
2022/02/14,443
2022/02/15,1081
2022/02/16,726
2022/02/17,804
2022/02/18,630
2022/02/19,765
2022/02/20,575
2022/02/21,318
2022/02/22,938
2022/02/23,634
2022/02/24,589
2022/02/25,521
2022/02/26,546
2022/02/27,346
2022/02/28,242
2022/03/01,641
2022/03/02,517
2022/03/03,540
2022/03/04,524
2022/03/05,546
2022/03/06,380
2022/03/07,194
2022/03/08,812
2022/03/09,595
2022/03/10,606
2022/03/11,606
2022/03/12,725
2022/03/13,488
2022/03/14,429
2022/03/15,1002
2022/03/16,800
2022/03/17,1014
2022/03/18,1031
2022/03/19,984
2022/03/20,731
2022/03/21,310
2022/03/22,1534
2022/03/23,914
2022/03/24,1043
2022/03/25,954
2022/03/26,1034
2022/03/27,759
2022/03/28,354
2022/03/29,1358
2022/03/30,936
2022/03/31,844
2022/04/01,914
2022/04/02,809
2022/04/03,552
2022/04/04,333
2022/04/05,1089
2022/04/06,687
2022/04/07,714
2022/04/08,660
2022/04/09,742
2022/04/10,511
2022/04/11,238
2022/04/12,997
2022/04/13,520
2022/04/14,680
2022/04/15,584
2022/04/16,673
2022/04/17,434
2022/04/18,138
2022/04/19,258
2022/04/20,1089
2022/04/21,711
2022/04/22,732
2022/04/23,834
2022/04/24,562
2022/04/25,224
2022/04/26,412
2022/04/27,959
2022/04/28,520
2022/04/29,576
2022/04/30,535
2022/05/01,319
2022/05/02,259
2022/05/03,529
2022/05/04,334
2022/05/05,442
2022/05/06,374
2022/05/07,373
2022/05/08,208
2022/05/09,134
2022/05/10,482
2022/05/11,339
2022/05/12,326
2022/05/13,308
2022/05/14,260
2022/05/15,196
2022/05/16,110
2022/05/17,438
2022/05/18,259
2022/05/19,243
2022/05/20,224
2022/05/21,196
2022/05/22,151
2022/05/23,77
2022/05/24,311
2022/05/25,204
2022/05/26,213
2022/05/27,252
2022/05/28,166
2022/05/29,115
2022/05/30,88
2022/05/31,255
2022/06/01,170
2022/06/02,186
2022/06/03,67
2022/06/04,282
2022/06/05,145
2022/06/06,133
2022/06/07,320
2022/06/08,260
2022/06/09,300
2022/06/10,248
2022/06/11,292
2022/06/12,203
2022/06/13,132
2022/06/14,589
2022/06/15,399
2022/06/16,343
2022/06/17,499
2022/06/18,476
2022/06/19,338
2022/06/20,269
2022/06/21,707
2022/06/22,601
2022/06/23,683
2022/06/24,601
2022/06/25,619
2022/06/26,453
2022/06/27,199
2022/06/28,1104
2022/06/29,919
2022/06/30,716
2022/07/01,848
2022/07/02,892
2022/07/03,616
2022/07/04,391
2022/07/05,1312
2022/07/06,929
2022/07/07,923
2022/07/08,960
2022/07/09,871
2022/07/10,674
2022/07/11,317
2022/07/12,1406
2022/07/13,905
2022/07/14,885
2022/07/15,857
2022/07/16,719
2022/07/17,468
2022/07/18,208
2022/07/19,1213
2022/07/20,755
2022/07/21,694
2022/07/22,654
2022/07/23,579
2022/07/24,385
2022/07/25,174
2022/07/26,888
2022/07/27,596
2022/07/28,521
2022/07/29,477
2022/07/30,503
2022/07/31,264
2022/08/01,123
2022/08/02,631
2022/08/03,392
2022/08/04,316
2022/08/05,337
2022/08/06,316
2022/08/07,183
2022/08/08,53
2022/08/09,382
2022/08/10,241
2022/08/11,226
2022/08/12,218
2022/08/13,241
2022/08/14,163
2022/08/15,56
2022/08/16,66
2022/08/17,264
2022/08/18,217
2022/08/19,200
2022/08/20,209
2022/08/21,126
2022/08/22,96
2022/08/23,298
2022/08/24,199
2022/08/25,151
2022/08/26,145
2022/08/27,227
2022/08/28,99
2022/08/29,36
2022/08/30,275
2022/08/31,178
2022/09/01,134
2022/09/02,160
2022/09/03,143
2022/09/04,67
2022/09/05,38
2022/09/06,196
2022/09/07,91
2022/09/08,114
2022/09/09,73
2022/09/10,78
2022/09/11,61
2022/09/12,28
2022/09/13,126
2022/09/14,73
2022/09/15,84
2022/09/16,84
2022/09/17,74
2022/09/18,54
2022/09/19,22
2022/09/20,137
2022/09/21,87
2022/09/22,130
2022/09/23,94
2022/09/24,119
2022/09/25,77
2022/09/26,33
2022/09/27,212
2022/09/28,158
2022/09/29,179
2022/09/30,132
2022/10/01,150
2022/10/02,105
2022/10/03,42
