Datas,Jeonbuk
08/13/2020,2
08/14/2020,0
08/15/2020,1
08/16/2020,0
08/17/2020,1
08/18/2020,7
08/19/2020,1
08/20/2020,6
08/21/2020,5
08/22/2020,4
08/23/2020,0
08/24/2020,4
08/25/2020,4
08/26/2020,7
08/27/2020,2
08/28/2020,2
08/29/2020,0
08/30/2020,0
08/31/2020,1
09/01/2020,0
09/02/2020,0
09/03/2020,0
09/04/2020,0
09/05/2020,2
09/06/2020,1
09/07/2020,1
09/08/2020,3
09/09/2020,1
09/10/2020,1
09/11/2020,0
09/12/2020,1
09/13/2020,2
09/14/2020,1
09/15/2020,1
09/16/2020,5
09/17/2020,0
09/18/2020,8
09/19/2020,1
09/20/2020,0
09/21/2020,0
09/22/2020,0
09/23/2020,1
09/24/2020,1
09/25/2020,3
09/26/2020,3
09/27/2020,2
09/28/2020,0
09/29/2020,0
09/30/2020,3
10/01/2020,0
10/02/2020,0
10/03/2020,1
10/04/2020,0
10/05/2020,3
10/06/2020,9
10/07/2020,8
10/08/2020,0
10/09/2020,0
10/10/2020,0
10/11/2020,0
10/12/2020,2
10/13/2020,1
10/14/2020,0
10/15/2020,1
10/16/2020,2
10/17/2020,0
10/18/2020,0
10/19/2020,1
10/20/2020,0
10/21/2020,0
10/22/2020,2
10/23/2020,2
10/24/2020,0
10/25/2020,0
10/26/2020,0
10/27/2020,0
10/28/2020,3
10/29/2020,1
10/30/2020,2
10/31/2020,0
11/01/2020,0
11/02/2020,0
11/03/2020,0
11/04/2020,0
11/05/2020,0
11/06/2020,1
11/07/2020,0
11/08/2020,0
11/09/2020,4
11/10/2020,0
11/11/2020,1
11/12/2020,0
11/13/2020,0
11/14/2020,4
11/15/2020,2
11/16/2020,1
11/17/2020,0
11/18/2020,0
11/19/2020,2
11/20/2020,13
11/21/2020,14
11/22/2020,12
11/23/2020,9
11/24/2020,15
11/25/2020,8
11/26/2020,16
11/27/2020,24
11/28/2020,9
11/29/2020,17
11/30/2020,16
12/01/2020,9
12/02/2020,26
12/03/2020,9
12/04/2020,14
12/05/2020,17
12/06/2020,12
12/07/2020,22
12/08/2020,13
12/09/2020,12
12/10/2020,8
12/11/2020,7
12/12/2020,6
12/13/2020,9
12/14/2020,8
12/15/2020,15
12/16/2020,75
12/17/2020,19
12/18/2020,16
12/19/2020,15
12/20/2020,29
12/21/2020,13
12/22/2020,4
12/23/2020,21
12/24/2020,12
12/25/2020,14
12/26/2020,37
12/27/2020,8
12/28/2020,1
12/29/2020,8
12/30/2020,32
12/31/2020,12
01/01/2021,8
01/02/2021,11
01/03/2021,5
01/04/2021,13
01/05/2021,5
01/06/2021,22
01/07/2021,2
01/08/2021,8
01/09/2021,14
01/10/2021,6
01/11/2021,7
01/12/2021,12
01/13/2021,8
01/14/2021,3
01/15/2021,6
01/16/2021,17
01/17/2021,5
01/18/2021,3
01/19/2021,3
01/20/2021,2
01/21/2021,5
01/22/2021,0
01/23/2021,7
01/24/2021,4
01/25/2021,0
01/26/2021,1
01/27/2021,13
01/28/2021,1
01/29/2021,6
01/30/2021,3
01/31/2021,2
02/01/2021,3
02/02/2021,2
02/03/2021,10
02/04/2021,1
02/05/2021,0
02/06/2021,4
02/07/2021,0
02/08/2021,0
02/09/2021,3
02/10/2021,2
02/11/2021,7
02/12/2021,2
02/13/2021,5
02/14/2021,6
02/15/2021,4
02/16/2021,5
02/17/2021,6
02/18/2021,6
02/19/2021,3
02/20/2021,8
02/21/2021,8
02/22/2021,4
02/23/2021,7
02/24/2021,8
02/25/2021,5
02/26/2021,16
02/27/2021,20
02/28/2021,7
03/01/2021,10
03/02/2021,9
03/03/2021,5
03/04/2021,6
03/05/2021,3
03/06/2021,4
03/07/2021,5
03/08/2021,4
03/09/2021,8
03/10/2021,5
03/11/2021,8
03/12/2021,4
03/13/2021,2
03/14/2021,7
03/15/2021,5
03/16/2021,7
03/17/2021,21
03/18/2021,15
03/19/2021,15
03/20/2021,16
03/21/2021,11
03/22/2021,7
03/23/2021,7
03/24/2021,5
03/25/2021,5
03/26/2021,3
03/27/2021,5
03/28/2021,5
03/29/2021,8
03/30/2021,25
03/31/2021,20
04/01/2021,22
04/02/2021,15
04/03/2021,20
04/04/2021,24
04/05/2021,16
04/06/2021,29
04/07/2021,10
04/08/2021,24
04/09/2021,22
04/10/2021,23
04/11/2021,40
04/12/2021,24
04/13/2021,25
04/14/2021,11
04/15/2021,16
04/16/2021,15
04/17/2021,16
04/18/2021,21
04/19/2021,16
04/20/2021,3
04/21/2021,8
04/22/2021,6
04/23/2021,9
04/24/2021,9
04/25/2021,7
04/26/2021,6
04/27/2021,5
04/28/2021,13
04/29/2021,9
04/30/2021,21
05/01/2021,10
05/02/2021,12
05/03/2021,12
05/04/2021,12
05/05/2021,6
05/06/2021,5
05/07/2021,6
05/08/2021,5
05/09/2021,8
05/10/2021,9
05/11/2021,12
05/12/2021,22
05/13/2021,10
05/14/2021,14
05/15/2021,11
05/16/2021,14
05/17/2021,9
05/18/2021,7
05/19/2021,9
05/20/2021,7
05/21/2021,16
05/22/2021,12
05/23/2021,14
05/24/2021,4
05/25/2021,5
05/26/2021,6
05/27/2021,6
05/28/2021,4
05/29/2021,6
05/30/2021,7
05/31/2021,9
06/01/2021,6
06/02/2021,10
06/03/2021,12
06/04/2021,3
06/05/2021,14
06/06/2021,0
06/07/2021,3
06/08/2021,4
06/09/2021,6
06/10/2021,2
06/11/2021,4
06/12/2021,2
06/13/2021,1
06/14/2021,2
06/15/2021,4
06/16/2021,2
06/17/2021,7
06/18/2021,4
06/19/2021,5
06/20/2021,3
06/21/2021,3
06/22/2021,2
06/23/2021,2
06/24/2021,6
06/25/2021,2
06/26/2021,5
06/27/2021,6
06/28/2021,2
06/29/2021,7
06/30/2021,10
07/01/2021,7
07/02/2021,7
07/03/2021,4
07/04/2021,3
07/05/2021,6
07/06/2021,6
07/07/2021,8
07/08/2021,3
07/09/2021,8
07/10/2021,14
07/11/2021,2
07/12/2021,4
07/13/2021,18
07/14/2021,9
07/15/2021,24
07/16/2021,13
07/17/2021,8
07/18/2021,5
07/19/2021,10
07/20/2021,15
07/21/2021,19
07/22/2021,4
07/23/2021,10
07/24/2021,42
07/25/2021,7
07/26/2021,24
07/27/2021,32
07/28/2021,23
07/29/2021,31
07/30/2021,23
07/31/2021,14
08/01/2021,14
08/02/2021,13
08/03/2021,16
08/04/2021,33
08/05/2021,19
08/06/2021,34
08/07/2021,20
08/08/2021,20
08/09/2021,21
08/10/2021,31
08/11/2021,31
08/12/2021,24
08/13/2021,27
08/14/2021,21
08/15/2021,12
08/16/2021,14
08/17/2021,25
08/18/2021,20
08/19/2021,39
08/20/2021,40
08/21/2021,24
08/22/2021,21
08/23/2021,36
08/24/2021,34
08/25/2021,40
08/26/2021,45
08/27/2021,41
08/28/2021,26
08/29/2021,28
08/30/2021,26
08/31/2021,26
09/01/2021,26
09/02/2021,18
09/03/2021,28
09/04/2021,26
09/05/2021,14
09/06/2021,7
09/07/2021,30
09/08/2021,32
09/09/2021,26
09/10/2021,25
09/11/2021,17
09/12/2021,14
09/13/2021,10
09/14/2021,17
09/15/2021,16
09/16/2021,20
09/17/2021,36
09/18/2021,73
09/19/2021,20
09/20/2021,38
09/21/2021,31
09/22/2021,27
09/23/2021,40
09/24/2021,62
09/25/2021,65
09/26/2021,48
09/27/2021,43
09/28/2021,42
09/29/2021,41
09/30/2021,35
10/01/2021,32
10/02/2021,23
10/03/2021,29
10/04/2021,21
10/05/2021,23
10/06/2021,20
10/07/2021,24
10/08/2021,22
10/09/2021,19
10/10/2021,10
10/11/2021,20
10/12/2021,23
10/13/2021,13
10/14/2021,16
10/15/2021,11
10/16/2021,16
10/17/2021,15
10/18/2021,18
10/19/2021,14
10/20/2021,9
10/21/2021,10
10/22/2021,16
10/23/2021,19
10/24/2021,10
10/25/2021,24
10/26/2021,41
10/27/2021,30
10/28/2021,41
10/29/2021,56
10/30/2021,26
10/31/2021,21
11/01/2021,24
11/02/2021,14
11/03/2021,43
11/04/2021,38
11/05/2021,16
11/06/2021,35
11/07/2021,22
11/08/2021,21
11/09/2021,12
11/10/2021,36
11/11/2021,39
11/12/2021,65
11/13/2021,58
11/14/2021,44
11/15/2021,38
11/16/2021,56
11/17/2021,50
11/18/2021,54
11/19/2021,24
11/20/2021,30
11/21/2021,41
11/22/2021,34
11/23/2021,42
11/24/2021,34
11/25/2021,35
11/26/2021,46
11/27/2021,50
11/28/2021,45
11/29/2021,49
11/30/2021,50
12/01/2021,50
12/02/2021,71
12/03/2021,66
12/04/2021,65
12/05/2021,56
12/06/2021,73
12/07/2021,74
12/08/2021,103
12/09/2021,125
12/10/2021,97
12/11/2021,104
12/12/2021,88
12/13/2021,81
12/14/2021,117
12/15/2021,120
12/16/2021,150
12/17/2021,122
12/18/2021,110
12/19/2021,92
12/20/2021,100
12/21/2021,140
12/22/2021,135
12/23/2021,149
12/24/2021,118
12/25/2021,115
12/26/2021,98
12/27/2021,89
12/28/2021,90
12/29/2021,109
12/30/2021,230
12/31/2021,99
01/01/2022,85
01/02/2022,79
01/03/2022,86
01/04/2022,92
01/05/2022,97
01/06/2022,70
01/07/2022,84
01/08/2022,67
01/09/2022,76
01/10/2022,96
01/11/2022,58
01/12/2022,58
01/13/2022,106
01/14/2022,102
01/15/2022,123
01/16/2022,123
01/17/2022,124
01/18/2022,151
01/19/2022,143
01/20/2022,138
01/21/2022,165
01/22/2022,171
01/23/2022,140
01/24/2022,200
01/25/2022,238
01/26/2022,299
01/27/2022,310
01/28/2022,381
01/29/2022,543
01/30/2022,436
01/31/2022,530
02/01/2022,585
02/02/2022,656
02/03/2022,946
02/04/2022,1063
02/05/2022,1282
02/06/2022,1012
02/07/2022,1270
02/08/2022,1226
02/09/2022,1562
02/10/2022,1770
02/11/2022,1506
02/12/2022,1548
02/13/2022,1642
02/14/2022,1591
02/15/2022,1579
02/16/2022,2561
02/17/2022,2574
02/18/2022,2510
02/19/2022,2492
02/20/2022,2791
02/21/2022,2728
02/22/2022,2463
02/23/2022,4024
02/24/2022,3908
02/25/2022,4216
02/26/2022,4161
02/27/2022,4216
02/28/2022,4070
03/01/2022,3938
03/02/2022,6413
03/03/2022,5285
03/04/2022,6539
03/05/2022,6988
03/06/2022,6851
03/07/2022,6065
03/08/2022,6263
03/09/2022,9679
03/10/2022,10075
03/11/2022,8852
03/12/2022,10834
03/13/2022,11441
03/14/2022,11173
03/15/2022,11259
03/16/2022,15390
03/17/2022,18589
03/18/2022,10886
03/19/2022,9921
03/20/2022,9682
03/21/2022,7897
03/22/2022,12582
03/23/2022,15906
03/24/2022,12914
03/25/2022,12824
03/26/2022,12201
03/27/2022,10847
03/28/2022,6942
03/29/2022,15092
03/30/2022,13250
03/31/2022,11294
04/01/2022,10640
04/02/2022,9462
04/03/2022,8510
04/04/2022,5087
04/05/2022,10253
04/06/2022,10480
04/07/2022,8275
04/08/2022,8257
04/09/2022,7184
04/10/2022,6728
04/11/2022,3760
04/12/2022,8137
04/13/2022,8005
04/14/2022,6532
04/15/2022,5343
04/16/2022,4571
04/17/2022,4156
04/18/2022,2066
04/19/2022,4970
04/20/2022,4831
04/21/2022,3899
04/22/2022,3348
04/23/2022,3297
04/24/2022,2975
04/25/2022,1427
04/26/2022,3515
04/27/2022,3934
04/28/2022,2652
04/29/2022,2411
04/30/2022,1998
05/01/2022,1742
05/02/2022,925
05/03/2022,1941
05/04/2022,2074
05/05/2022,1753
05/06/2022,1191
05/07/2022,1583
05/08/2022,2006
05/09/2022,785
05/10/2022,2275
05/11/2022,1961
05/12/2022,1465
05/13/2022,1401
05/14/2022,1205
05/15/2022,1129
05/16/2022,585
05/17/2022,1371
05/18/2022,1250
05/19/2022,1183
05/20/2022,954
05/21/2022,1021
05/22/2022,859
05/23/2022,479
05/24/2022,1061
05/25/2022,1020
05/26/2022,694
05/27/2022,568
05/28/2022,584
05/29/2022,520
05/30/2022,227
05/31/2022,615
06/01/2022,532
06/02/2022,292
06/03/2022,446
06/04/2022,415
06/05/2022,378
06/06/2022,193
06/07/2022,216
06/08/2022,469
06/09/2022,415
06/10/2022,302
06/11/2022,275
06/12/2022,272
06/13/2022,109
06/14/2022,297
06/15/2022,270
06/16/2022,207
06/17/2022,183
06/18/2022,207
06/19/2022,183
06/20/2022,72
06/21/2022,252
06/22/2022,265
06/23/2022,182
06/24/2022,205
06/25/2022,179
06/26/2022,179
06/27/2022,92
06/28/2022,286
06/29/2022,290
06/30/2022,271
07/01/2022,252
07/02/2022,273
07/03/2022,268
07/04/2022,125
07/05/2022,401
07/06/2022,479
07/07/2022,456
07/08/2022,543
07/09/2022,519
07/10/2022,574
07/11/2022,307
07/12/2022,989
07/13/2022,1050
07/14/2022,1148
07/15/2022,1070
07/16/2022,1145
07/17/2022,1242
07/18/2022,682
07/19/2022,2093
07/20/2022,2198
07/21/2022,2185
07/22/2022,2257
07/23/2022,2176
07/24/2022,2351
07/25/2022,1214
07/26/2022,2914
07/27/2022,3371
07/28/2022,2799
07/29/2022,2920
07/30/2022,2926
07/31/2022,3009
08/01/2022,1579
08/02/2022,3652
08/03/2022,4303
08/04/2022,4228
08/05/2022,4115
08/06/2022,4084
08/07/2022,4479
08/08/2022,2230
08/09/2022,5506
08/10/2022,6083
08/11/2022,5500
08/12/2022,4997
08/13/2022,4800
08/14/2022,5099
08/15/2022,2452
08/16/2022,3662
08/17/2022,6290
08/18/2022,6980
08/19/2022,5732
08/20/2022,5079
08/21/2022,4727
08/22/2022,2528
08/23/2022,5391
08/24/2022,5529
08/25/2022,4531
08/26/2022,4046
08/27/2022,3735
08/28/2022,3753
08/29/2022,1558
08/30/2022,3957
08/31/2022,4286
09/01/2022,3440
09/02/2022,3126
09/03/2022,2930
09/04/2022,2719
09/05/2022,1618
09/06/2022,3349
09/07/2022,3077
09/08/2022,2729
09/09/2022,2451
09/10/2022,1846
09/11/2022,1263
09/12/2022,1572
09/13/2022,2168
09/14/2022,3232
09/15/2022,2746
09/16/2022,1901
09/17/2022,1672
09/18/2022,1363
09/19/2022,605
09/20/2022,1624
09/21/2022,1495
09/22/2022,1081
09/23/2022,999
09/24/2022,950
09/25/2022,932
09/26/2022,448
09/27/2022,1111
09/28/2022,1179
09/29/2022,988
09/30/2022,892
10/01/2022,795
10/02/2022,769
10/03/2022,286
10/04/2022,521
10/05/2022,974
10/06/2022,928
10/07/2022,698
10/08/2022,656
10/09/2022,577
10/10/2022,301
10/11/2022,488
10/12/2022,882
10/13/2022,822
10/14/2022,704
10/15/2022,676
10/16/2022,672
10/17/2022,322
10/18/2022,898
10/19/2022,885
10/20/2022,708
10/21/2022,704
10/22/2022,735
10/23/2022,852
10/24/2022,362
10/25/2022,1045
10/26/2022,1204
10/27/2022,1003
10/28/2022,1018
10/29/2022,1028
10/30/2022,1078
10/31/2022,590
11/01/2022,1557
11/02/2022,1607
11/03/2022,1424
11/04/2022,1290
11/05/2022,1227
11/06/2022,1252
11/07/2022,482
11/08/2022,1637
11/09/2022,1866
11/10/2022,1704
11/11/2022,1650
11/12/2022,1704
11/13/2022,1768
11/14/2022,633
11/15/2022,2049
11/16/2022,2244
11/17/2022,1752
11/18/2022,1657
11/19/2022,1685
11/20/2022,1698
11/21/2022,584
11/22/2022,2118
11/23/2022,2247
11/24/2022,1901
11/25/2022,1709
11/26/2022,1677
11/27/2022,1742
11/28/2022,663
11/29/2022,2085
11/30/2022,2275
12/01/2022,1858
12/02/2022,1671
